Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Joker
1926,34,16,9,10,36,7
1927,26,28,24,20,32,13
1928,29,8,30,38,20,16
1929,33,18,19,25,10,16
1930,15,31,3,21,37,15
1931,22,39,18,19,36,9
1932,42,6,44,17,26,14
1933,26,14,11,1,12,18
1934,8,44,28,12,10,8
1935,35,37,24,34,27,2
1936,5,28,17,15,12,12
1937,41,40,34,15,2,12
1938,23,45,34,4,38,9
1939,5,14,8,37,40,7
1940,18,41,9,4,6,8
1941,6,19,33,28,45,15
1942,35,38,18,7,29,20
1943,38,32,45,28,9,8
1944,41,14,18,30,15,7
1945,34,24,13,1,23,3
1946,5,41,13,17,25,9
1947,13,31,28,32,29,18
1948,12,32,16,15,11,12
1949,24,19,37,22,6,16
1950,17,36,45,33,20,18
1951,1,36,28,16,10,16
1952,16,1,10,20,13,8
1953,9,26,41,1,7,1
1954,26,13,31,2,11,3
1955,8,39,40,12,20,2
1956,5,6,42,13,19,1
1957,43,7,36,23,45,10
1958,21,8,1,7,17,12
1959,12,41,14,36,9,9
1960,5,17,2,9,43,6
1961,17,25,36,13,35,13
1962,12,29,31,27,6,8
1963,35,42,3,12,30,3
1964,36,11,16,2,31,18
1965,5,37,7,10,40,16
1966,1,45,25,23,6,20
1967,30,26,1,36,29,13
1968,25,11,40,10,32,12
1969,28,45,18,27,15,20
1970,13,7,9,28,36,5
1971,17,35,41,44,45,16
1972,22,1,7,8,27,9
1973,9,35,45,33,27,5
1974,28,31,33,12,4,5
1975,17,41,14,23,16,6
1976,32,4,23,39,29,5
1977,15,40,33,19,41,6
1978,15,6,27,29,28,17
1979,29,20,27,31,36,4
1980,18,17,5,37,15,15
1981,15,25,22,31,17,10
1982,15,42,4,18,28,17
1983,19,4,22,12,35,8
1984,6,27,17,12,44,5
1985,6,30,23,26,7,7
1986,18,26,5,38,14,11
1987,24,1,17,39,36,15
1988,14,42,43,22,10,4
1989,14,30,38,44,2,2
1990,41,15,18,16,7,2
1991,26,13,30,16,38,7
1992,31,40,18,11,8,19
1993,14,5,13,45,6,4
1994,1,38,24,15,42,10
1995,11,43,13,39,21,6
1996,9,22,41,7,32,1
1997,38,7,36,6,5,3
1998,16,36,35,4,13,9
1999,37,44,29,11,20,7
2000,29,36,11,34,21,9
2001,44,24,3,1,13,9
2002,23,10,42,45,30,11
2003,2,37,30,19,35,15
2004,19,24,42,8,44,4
2005,22,24,10,15,37,20
2006,23,42,24,37,16,1
2007,38,25,17,7,23,17
2008,45,16,9,5,39,8
2009,39,29,44,5,34,14
2010,41,44,33,23,17,2
2011,8,42,33,34,16,6
2012,36,10,33,43,31,5
2013,2,31,29,33,1,15
2014,26,4,2,32,28,6
2015,14,24,30,18,37,8
2016,15,22,44,27,3,17
2017,16,45,9,6,19,7
2018,36,10,4,30,9,10
2019,18,6,28,23,45,14
2020,32,10,5,28,33,16
2021,6,29,16,7,33,10
2022,42,14,6,44,40,9
2023,8,23,30,38,32,7
2024,31,41,29,5,21,19
2025,33,3,41,38,27,19
2026,42,40,37,10,19,19
2027,25,6,32,16,33,19
2028,31,13,8,17,15,8
2029,23,6,5,3,8,7
2030,36,28,29,10,20,20
2031,13,5,43,41,18,1
2032,44,26,32,36,14,5
2033,35,5,22,4,16,1
2034,44,15,40,37,18,3
2035,13,43,35,21,33,17
2036,37,29,12,11,7,8
2037,16,40,18,32,29,8
2038,18,28,10,37,6,17
2039,35,9,3,8,34,3
2040,34,18,4,27,41,18
2041,6,28,43,37,15,18
2042,18,40,8,14,28,20
2043,24,35,21,5,45,11
2044,2,19,1,37,27,12
2045,43,39,35,38,31,1
2046,44,9,26,3,2,12
2047,30,26,44,3,27,13
2048,25,32,1,28,30,4
2049,19,34,12,15,11,10
2050,25,31,28,29,7,20
2051,41,24,36,28,10,4
2052,26,7,15,35,40,11
2053,29,44,8,7,12,15
2054,41,24,19,27,14,14
2055,43,27,4,30,13,4
2056,44,38,29,24,9,4
2057,10,16,42,22,38,16
2058,45,40,12,7,31,13
2059,16,26,35,18,21,19
2060,38,35,3,28,21,13
2061,45,42,14,26,4,4
2062,34,24,39,11,36,1
2063,18,17,24,42,39,9
2064,45,13,15,6,18,4
2065,7,24,29,1,33,13
2066,2,21,15,23,1,18
2067,21,31,8,38,22,15
2068,12,1,20,33,7,9
2069,35,14,26,41,24,6
2070,11,22,27,21,34,11
2071,37,44,5,36,8,18
2072,42,43,41,24,37,9
2073,23,12,25,35,17,14
2074,2,35,15,3,16,12
2075,34,20,40,32,29,5
2076,42,8,26,7,1,3
2077,40,6,20,19,1,3
2078,37,13,42,18,35,16
2079,12,6,41,43,4,5
2080,36,8,22,5,14,20
2081,32,38,5,29,34,12
2082,23,13,24,42,14,18
2083,22,38,32,24,5,13
2084,26,38,33,37,5,13
2085,17,26,36,13,8,12
2086,31,19,17,26,3,2
2087,15,4,23,3,10,19
2088,13,42,10,12,24,20
2089,31,12,21,26,22,18
2090,20,5,32,24,11,2
2091,5,11,9,10,43,17
2092,13,28,14,15,11,19
2093,39,19,2,37,4,5
2094,6,12,15,22,35,16
2095,12,17,28,4,37,15
2096,32,4,33,21,42,5
2097,29,12,26,40,20,11
2098,23,5,15,37,34,17
2099,20,14,24,31,34,18
2100,19,23,30,37,31,14
2101,40,41,1,43,23,19
2102,38,12,43,13,20,11
2103,3,9,4,17,42,13
2104,37,4,18,10,5,14
2105,17,4,29,24,20,12
2106,37,22,21,12,29,10
2107,11,12,22,5,25,18
2108,40,25,5,28,42,18
2109,44,29,27,41,34,9
2110,10,16,45,27,20,3
2111,25,22,43,10,39,13
2112,26,17,19,8,45,20
2113,37,10,30,5,8,1
2114,38,42,9,7,20,8
2115,29,42,45,21,3,6
2116,9,45,28,15,7,13
2117,24,21,33,4,41,19
2118,35,40,44,12,7,1
2119,3,18,37,29,23,15
2120,4,9,16,5,21,18
2121,25,45,26,38,14,19
2122,6,14,33,19,43,7
2123,1,2,36,23,21,6
2124,27,6,9,22,18,11
2125,26,43,5,18,7,18
2126,23,3,12,11,6,18
2127,38,28,35,14,10,2
2128,39,23,15,43,36,15
2129,17,18,5,31,24,11
2130,15,6,43,22,33,16
2131,18,24,41,16,20,10
2132,43,18,26,20,3,15
2133,19,20,24,7,28,10
2134,3,14,35,39,33,2
2135,22,8,40,9,33,15
2136,39,26,37,43,35,15
2137,29,3,17,33,7,8
2138,27,23,4,45,15,13
2139,21,11,6,2,43,14
2140,34,5,38,25,40,18
2141,12,41,43,10,38,6
2142,11,28,13,37,39,11
2143,43,36,32,39,10,13
2144,17,7,27,37,15,11
2145,3,14,17,31,28,3
2146,31,43,40,35,21,4
2147,30,39,41,1,19,9
2148,27,12,3,19,6,4
2149,26,37,18,3,1,7
2150,6,22,18,43,11,6
2151,5,24,9,37,11,11
2152,32,1,8,35,12,17
2153,45,2,15,7,20,13
2154,36,37,22,28,10,11
2155,10,19,3,45,20,10
2156,9,1,43,26,36,14
2157,36,37,1,40,42,18
2158,6,16,9,5,37,12
2159,28,30,10,24,40,8
2160,34,42,6,24,10,16
2161,38,28,3,40,17,11
2162,36,4,9,22,43,2
2163,35,23,8,19,1,2
2164,26,40,1,37,25,4
